date,covid_sum
2020-01-30,1.0
2020-02-21,1.0
2020-02-22,2.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,1.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,1.0
2020-03-03,0.0
2020-03-04,1.0
2020-03-05,1.0
2020-03-06,1.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,1.0
2020-03-12,3.0
2020-03-13,2.0
2020-03-14,1.0
2020-03-15,0.0
2020-03-16,1.0
2020-03-17,0.0
2020-03-18,1.0
2020-03-19,1.0
2020-03-20,3.0
2020-03-21,3.0
2020-03-22,0.0
2020-03-23,2.0
2020-03-24,4.0
2020-03-25,3.0
2020-03-26,3.0
2020-03-27,2.0
2020-03-28,4.0
2020-03-29,1.0
2020-03-30,5.0
2020-03-31,2.0
2020-04-01,2.0
2020-04-02,5.0
2020-04-03,2.0
2020-04-04,2.0
2020-04-05,2.0
2020-04-06,1.0
2020-04-07,3.0
2020-04-08,2.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,2.0
2020-04-15,0.0
2020-04-16,1.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,1.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,4.0
2020-05-09,5.0
2020-05-10,4.0
2020-05-11,2.0
2020-05-12,1.0
2020-05-13,0.0
2020-05-14,2.0
2020-05-15,1.0
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,0.0
2020-05-19,5.0
2020-05-20,0.0
2020-05-21,1.0
2020-05-22,0.0
2020-05-23,1.0
2020-05-24,1.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,2.0
2020-06-02,0.0
2020-06-03,1.0
2020-06-04,1.0
2020-06-05,3.0
2020-06-06,2.0
2020-06-07,0.0
2020-06-08,2.0
2020-06-09,0.0
2020-06-10,1.0
2020-06-11,3.0
2020-06-12,4.0
2020-06-13,2.0
2020-06-14,2.0
2020-06-15,2.0
2020-06-16,2.0
2020-06-17,1.0
2020-06-18,2.0
2020-06-19,2.0
2020-06-20,1.0
2020-06-21,0.0
2020-06-22,0.0
2020-06-23,1.0
2020-06-24,0.0
2020-06-25,1.0
2020-06-26,2.0
2020-06-27,1.0
2020-06-28,2.0
2020-06-29,0.0
2020-06-30,1.0
2020-07-01,1.0
2020-07-02,1.0
2020-07-03,2.0
2020-07-04,6.0
